seqnames	start	end	width	strand	gene_id	SYMBOL	gene_name	logFC	logCPM	F	PValue	FDR	mlog10PValue	simple_gene_name
chr7	99876958	99919531	42574	-	ENSG00000146833.16	TRIM4	TRIM4	-5.22	3.7	294	3.31e-10	4.45e-06	9.48	TRIM4
chrX	78129748	78139650	9903	-	ENSG00000187325.5	TAF9B	TAF9B	-10.7	3.41	300	9.49e-10	6.38e-06	9.02	TAF9B
chr1	78649796	78664078	14283	+	ENSG00000137965.11	IFI44	IFI44	2.2	3.92	187	5.16e-09	2.31e-05	8.29	IFI44
chr14	75079353	75127344	47992	-	ENSG00000119638.14	NEK9	NEK9	-0.954	6.71	143	2.63e-08	8.83e-05	7.58	NEK9
chr1	158831351	158849506	18156	+	ENSG00000163563.8	MNDA	MNDA	2.56	3.67	122	6.49e-08	0.000175	7.19	MNDA
chr14	71932429	72566530	634102	+	ENSG00000182732.18	RGS6	RGS6	-4.1	1.4	115	9.4e-08	0.000211	7.03	RGS6
chr11	125063302	125090516	27215	+	ENSG00000134955.12	SLC37A2	SLC37A2	-3.37	8.21	104	1.62e-07	0.000303	6.79	SLC37A2
chr1	78619902	78646145	26244	+	ENSG00000137959.17	IFI44L	IFI44L	2.95	4.15	102	1.8e-07	0.000303	6.74	IFI44L
chr1	89181144	89198942	17799	-	ENSG00000162654.9	GBP4	GBP4	1.73	2.69	100	2.06e-07	0.000307	6.69	GBP4
chr1	161541759	161550968	9210	-	ENSG00000203747.13	FCGR3A	FCGR3A	1.1	5.02	89.4	3.91e-07	0.000526	6.41	FCGR3A
chr3	196980590	197029835	49246	-	ENSG00000163975.14	MELTF	MELTF	-1.18	5.66	83.5	5.75e-07	0.000702	6.24	MELTF
chr2	55634061	55693863	59803	-	ENSG00000138035.15	PNPT1	PNPT1	1.84	5.69	78.3	8.26e-07	0.000924	6.08	PNPT1
chr5	150357629	150400308	42680	+	ENSG00000070814.22	TCOF1	TCOF1	0.8	6.02	70	1.53e-06	0.00157	5.82	TCOF1
chr17	42561467	42566277	4811	+	ENSG00000068120.15	COASY	COASY	-1.08	5.69	69.1	1.65e-06	0.00157	5.78	COASY
chr1	89051882	89065360	13479	-	ENSG00000117228.11	GBP1	GBP1	5.45	-0.594	68.3	1.75e-06	0.00157	5.76	GBP1
chr5	169583636	169604778	21143	+	ENSG00000040275.17	SPDL1	SPDL1	1.22	3.88	66.4	2.04e-06	0.00169	5.69	SPDL1
chr1	62194849	62212328	17480	+	ENSG00000240563.2	L1TD1	L1TD1	0.904	5.21	65.8	2.13e-06	0.00169	5.67	L1TD1
chr21	41420020	41470071	50052	+	ENSG00000157601.15	MX1	MX1	1.02	5.03	60.6	3.34e-06	0.00249	5.48	MX1
chr13	42886388	42992271	105884	-	ENSG00000133106.15	EPSTI1	EPSTI1	0.758	5.58	59.1	3.82e-06	0.0027	5.42	EPSTI1
chr5	112142441	112419313	276873	-	ENSG00000129595.14	EPB41L4A	EPB41L4A	2.38	-0.713	54.9	5.63e-06	0.00359	5.25	EPB41L4A
chr8	97273488	97277928	4441	-	ENSG00000180543.5	TSPYL5	TSPYL5	-2.02	2.53	54.5	5.84e-06	0.00359	5.23	TSPYL5
chr3	190305707	190322446	16740	-	ENSG00000163347.6	CLDN1	CLDN1	1.65	2.52	54.5	5.88e-06	0.00359	5.23	CLDN1
chr3	113532555	113629575	97021	+	ENSG00000072858.11	SIDT1	SIDT1	-1.63	2.88	53.6	6.38e-06	0.00373	5.19	SIDT1
chr17	40309180	40357643	48464	+	ENSG00000131759.18	RARA	RARA	-1.14	4.3	48.7	1.06e-05	0.00591	4.98	RARA
chr1	150293861	150308979	15119	+	ENSG00000266472.6	MRPS21	MRPS21	-1.21	5.29	48.1	1.12e-05	0.00602	4.95	MRPS21
chr7	897900	955407	57508	-	ENSG00000105963.15	ADAP1	ADAP1	-1.16	4.96	45.1	1.55e-05	0.00803	4.81	ADAP1
chr14	73567620	73575658	8039	+	ENSG00000119673.16	ACOT2	ACOT2	-1.34	5.16	43.5	1.88e-05	0.00933	4.73	ACOT2
chr3	48744597	48847874	103278	-	ENSG00000114302.17	PRKAR2A	PRKAR2A	0.608	7.11	42.8	2.02e-05	0.00972	4.69	PRKAR2A
chr4	158124474	158173318	48845	-	ENSG00000164125.16	GASK1B	GASK1B	-1.32	6.23	41.3	2.44e-05	0.0113	4.61	GASK1B
chr12	112978395	113011723	33329	+	ENSG00000111335.14	OAS2	OAS2	1.2	5.4	40.6	2.63e-05	0.0118	4.58	OAS2
chr20	23626706	23638473	11768	-	ENSG00000101439.9	CST3	CST3	-1.03	9.5	40.1	2.82e-05	0.0122	4.55	CST3
chr4	2059327	2069089	9763	+	ENSG00000185818.8	NAT8L	NAT8L	-1.34	4.91	39.6	3e-05	0.0124	4.52	NAT8L
chr4	76021118	76023497	2380	-	ENSG00000169245.6	CXCL10	CXCL10	1.71	0.608	39.4	3.06e-05	0.0124	4.51	CXCL10
chr1	17539698	17697874	158177	+	ENSG00000074964.17	ARHGEF10L	ARHGEF10L	-0.665	5.05	39.2	3.16e-05	0.0124	4.5	ARHGEF10L
chr1	89006679	89022894	16216	-	ENSG00000117226.12	GBP3	GBP3	1.04	3.81	39	3.23e-05	0.0124	4.49	GBP3
chr19	40421589	40425992	4404	-	ENSG00000197019.5	SERTAD1	SERTAD1	-1.12	3.36	38.4	3.47e-05	0.0126	4.46	SERTAD1
chr11	35138882	35232402	93521	+	ENSG00000026508.21	CD44	CD44	1.11	4.31	38.4	3.48e-05	0.0126	4.46	CD44
chr12	112938051	112976460	38410	+	ENSG00000111331.14	OAS3	OAS3	0.542	6.58	38.2	3.58e-05	0.0127	4.45	OAS3
chr2	26457203	26558756	101554	-	ENSG00000115155.19	OTOF	OTOF	2.54	-0.0796	37.8	3.77e-05	0.013	4.42	OTOF
chr17	48540894	48545109	4216	-	ENSG00000173917.11	HOXB2	HOXB2	3.72	-0.684	37.2	4.04e-05	0.0136	4.39	HOXB2
chr1	148531385	148679742	148358	-	ENSG00000270629.7	NBPF14	NBPF14	0.777	6.39	36.6	4.39e-05	0.0144	4.36	NBPF14
chr8	60516936	60623644	106709	+	ENSG00000104388.15	RAB2A	RAB2A	0.555	6.2	36.3	4.55e-05	0.0146	4.34	RAB2A
chr3	134485699	134587789	102091	+	ENSG00000182923.20	CEP63	CEP63	0.655	4.96	35.8	4.86e-05	0.0152	4.31	CEP63
chr10	62811996	62819167	7172	-	ENSG00000122877.18	EGR2	EGR2	-1.94	4.6	35.4	5.13e-05	0.0157	4.29	EGR2
chr20	33702758	33720319	17562	-	ENSG00000101417.12	PXMP4	PXMP4	-1.11	3.67	33.6	6.66e-05	0.0199	4.18	PXMP4
chr17	7661779	7687538	25760	-	ENSG00000141510.18	TP53	TP53	0.917	6.26	32.4	7.89e-05	0.023	4.1	TP53
chr7	150323263	150338156	14894	+	ENSG00000127399.15	LRRC61	LRRC61	-7.08	-0.354	36.9	8.69e-05	0.0247	4.06	LRRC61
chr8	21908873	21913690	4818	-	ENSG00000147443.13	DOK2	DOK2	-1.73	2.77	31.6	8.84e-05	0.0247	4.05	DOK2
chr22	42079691	42084284	4594	+	ENSG00000183172.9	SMDT1	SMDT1	-0.729	4.97	31.3	9.31e-05	0.0255	4.03	SMDT1
chr19	35629030	35637686	8657	+	ENSG00000126254.12	RBM42	RBM42	-0.588	5.51	31	9.66e-05	0.0256	4.02	RBM42
chr5	154682986	154817605	134620	+	ENSG00000155506.19	LARP1	LARP1	0.643	8.21	30.9	9.82e-05	0.0256	4.01	LARP1
chr4	155854738	155920406	65669	+	ENSG00000151790.9	TDO2	TDO2	2.49	0.441	30.8	9.96e-05	0.0256	4	TDO2
chr9	136363956	136373681	9726	-	ENSG00000187796.16	CARD9	CARD9	-0.574	6.53	30.7	0.000101	0.0256	4	CARD9
chr1	17066761	17119451	52691	-	ENSG00000117115.13	PADI2	PADI2	-0.495	9.13	30.5	0.000105	0.0261	3.98	PADI2
chr14	94104836	94116695	11860	+	ENSG00000165949.13	IFI27	IFI27	3.89	4.4	30	0.000112	0.0273	3.95	IFI27
chr17	74987632	75005800	18169	+	ENSG00000109089.7	CDR2L	CDR2L	-1.15	4.09	29.8	0.000115	0.0275	3.94	CDR2L
chr12	111766887	111817532	50646	+	ENSG00000111275.13	ALDH2	ALDH2	-0.84	8.05	29.8	0.000117	0.0275	3.93	ALDH2
chr12	27332836	27425289	92454	+	ENSG00000029153.15	ARNTL2	ARNTL2	1.84	2.9	29.6	0.00012	0.0275	3.92	ARNTL2
chr2	171922448	171983686	61239	+	ENSG00000128708.13	HAT1	HAT1	0.648	5.12	29.5	0.000122	0.0275	3.92	HAT1
chr13	32586452	32778019	191568	+	ENSG00000083642.19	PDS5B	PDS5B	0.754	5.96	29.3	0.000125	0.0275	3.9	PDS5B
chr7	93130056	93148385	18330	-	ENSG00000177409.12	SAMD9L	SAMD9L	0.914	5.75	29.3	0.000125	0.0275	3.9	SAMD9L
chr11	64234584	64239264	4681	+	ENSG00000173511.10	VEGFB	VEGFB	-1.04	6.24	28.8	0.000135	0.0287	3.87	VEGFB
chr19	49506816	49526428	19613	+	ENSG00000104870.13	FCGRT	FCGRT	-0.822	8.95	28.7	0.000137	0.0287	3.86	FCGRT
chr8	123041968	123152153	110186	+	ENSG00000156787.17	TBC1D31	TBC1D31	0.928	3.11	28.7	0.000137	0.0287	3.86	TBC1D31
chr19	49528003	49546962	18960	+	ENSG00000142552.8	RCN3	RCN3	-0.493	6	28.7	0.000139	0.0287	3.86	RCN3
chr19	33299934	33302534	2601	-	ENSG00000245848.3	CEBPA	CEBPA	-0.963	7.9	28.5	0.000142	0.0288	3.85	CEBPA
chr11	130159782	130210362	50581	+	ENSG00000149418.11	ST14	ST14	-0.964	6.29	28.3	0.000147	0.0293	3.83	ST14
chr6	33314406	33317942	3537	-	ENSG00000236104.3	ZBTB22	ZBTB22	-0.641	4.66	28.2	0.000149	0.0293	3.83	ZBTB22
chr17	6755447	6775647	20201	+	ENSG00000132530.17	XAF1	XAF1	1.22	5.42	28.2	0.00015	0.0293	3.82	XAF1
chr10	88953813	89029605	75793	+	ENSG00000026103.25	FAS	FAS	1.35	3.93	27.8	0.000159	0.0305	3.8	FAS
chr3	98732236	98821201	88966	+	ENSG00000064225.13	ST3GAL6	ST3GAL6	0.523	6.18	27.5	0.000168	0.0319	3.77	ST3GAL6
chr3	127672935	127680926	7992	+	ENSG00000114626.18	ABTB1	ABTB1	-0.568	5.36	27.1	0.000177	0.0326	3.75	ABTB1
chr6	35832966	35921342	88377	-	ENSG00000096063.16	SRPK1	SRPK1	1.03	5.04	27.1	0.000179	0.0326	3.75	SRPK1
chr15	51341655	51408005	66351	+	ENSG00000186417.14	GLDN	GLDN	-1.4	3.04	27	0.000181	0.0326	3.74	GLDN
chr8	142212080	142403182	191103	-	ENSG00000171045.16	TSNARE1	TSNARE1	-0.892	4.41	27	0.000182	0.0326	3.74	TSNARE1
chr5	112827213	112867582	40370	+	ENSG00000258864.1	NA	NA	7.8	-1.56	105	0.000193	0.034	3.72	ENSG00000258864.1
chr2	37099210	37157522	58313	-	ENSG00000055332.19	EIF2AK2	EIF2AK2	0.91	6.91	26.5	0.000197	0.0341	3.71	EIF2AK2
chr15	74957219	75021495	64277	+	ENSG00000198794.12	SCAMP5	SCAMP5	-1.04	4.82	26.4	2e-04	0.0341	3.7	SCAMP5
chr7	28299321	28825894	526574	+	ENSG00000146592.17	CREB5	CREB5	1.19	4.63	26.2	0.000207	0.0341	3.68	CREB5
chr14	73537143	73543796	6654	+	ENSG00000184227.8	ACOT1	ACOT1	-1.01	3.32	26.2	0.000209	0.0341	3.68	ACOT1
chr15	98648539	98964530	315992	+	ENSG00000140443.15	IGF1R	IGF1R	-1.08	3.19	26.1	0.00021	0.0341	3.68	IGF1R
